"Week","Team","Points","Home","Cumulative"
29,"Manchester City",0,"Away",58
29,"Chelsea",1,"Home",67
29,"Southampton",1,"Away",50
29,"Everton",3,"Home",31
29,"Newcastle",0,"Away",35
29,"Manchester United",3,"Home",56
29,"Tottenham",0,"Away",50
29,"Swansea",0,"Home",40
29,"Liverpool",3,"Away",54
30,"Manchester City",3,"Home",61
30,"West Bromwich",0,"Away",33
30,"Aston Villa",0,"Home",28
30,"Swansea",3,"Away",43
30,"Newcastle",0,"Home",35
30,"Arsenal",3,"Away",60
30,"Southampton",3,"Home",53
30,"Burnley",0,"Away",25
30,"Stoke",0,"Home",42
30,"Crystal Palace",3,"Away",36
30,"Tottenham",3,"Home",53
30,"Leicester",0,"Away",19
30,"West Ham",3,"Home",42
30,"Sunderland",0,"Away",26
30,"Liverpool",0,"Home",54
30,"Manchester United",3,"Away",59
30,"Hull",0,"Home",28
30,"Chelsea",3,"Away",70
30,"QPR",0,"Home",22
30,"Everton",3,"Away",34
31,"Arsenal",3,"Home",63
31,"Liverpool",0,"Away",54
31,"Everton",3,"Home",37
31,"Southampton",0,"Away",53
31,"Leicester",3,"Home",22
31,"West Ham",0,"Away",42
31,"Manchester United",3,"Home",62
31,"Aston Villa",0,"Away",28
31,"Swansea",3,"Home",46
31,"Hull",0,"Away",28
31,"West Bromwich",0,"Home",33
31,"QPR",3,"Away",25
31,"Chelsea",3,"Home",73
31,"Stoke",0,"Away",42
31,"Burnley",1,"Home",26
31,"Tottenham",1,"Away",54
31,"Sunderland",3,"Home",29
31,"Newcastle",0,"Away",35
31,"Crystal Palace",3,"Home",39
31,"Manchester City",0,"Away",61
32,"Swansea",1,"Home",47
32,"Everton",1,"Away",38
32,"Southampton",3,"Home",56
32,"Hull",0,"Away",28
32,"Sunderland",0,"Home",29
32,"Crystal Palace",3,"Away",42
32,"Tottenham",0,"Home",54
32,"Aston Villa",3,"Away",31
32,"West Bromwich",0,"Home",33
32,"Leicester",3,"Away",25
32,"West Ham",1,"Home",43
32,"Stoke",1,"Away",43
32,"Burnley",0,"Home",26
32,"Arsenal",3,"Away",66
32,"QPR",0,"Home",25
32,"Chelsea",3,"Away",76
32,"Manchester United",3,"Home",65
32,"Manchester City",0,"Away",61
32,"Liverpool",3,"Home",57
32,"Newcastle",0,"Away",35
33,"Aston Villa",1,"Home",32
33,"QPR",1,"Away",26
33,"Crystal Palace",0,"Home",42
33,"West Bromwich",3,"Away",36
33,"Everton",3,"Home",41
33,"Burnley",0,"Away",26
33,"Leicester",3,"Home",28
33,"Swansea",0,"Away",47
33,"Stoke",3,"Home",46
33,"Southampton",0,"Away",56
33,"Chelsea",3,"Home",79
33,"Manchester United",0,"Away",65
33,"Manchester City",3,"Home",64
33,"West Ham",0,"Away",43
33,"Newcastle",0,"Home",35
33,"Tottenham",3,"Away",57
33,"Hull",3,"Home",31
33,"Liverpool",0,"Away",57
33,"Arsenal",1,"Home",67
33,"Sunderland",1,"Away",30
34,"Southampton",1,"Home",57
34,"Tottenham",1,"Away",58
34,"Burnley",0,"Home",26
34,"Leicester",3,"Away",31
34,"Crystal Palace",0,"Home",42
34,"Hull",3,"Away",34
34,"Newcastle",0,"Home",35
34,"Swansea",3,"Away",50
34,"QPR",1,"Home",27
34,"West Ham",1,"Away",44
34,"Stoke",1,"Home",47
34,"Sunderland",1,"Away",31
34,"West Bromwich",1,"Home",37
34,"Liverpool",1,"Away",58
34,"Manchester City",3,"Home",67
34,"Aston Villa",0,"Away",32
34,"Everton",3,"Home",44
34,"Manchester United",0,"Away",65
34,"Arsenal",1,"Home",68
34,"Chelsea",1,"Away",80
35,"Leicester",3,"Home",34
35,"Newcastle",0,"Away",35
35,"Aston Villa",3,"Home",35
35,"Everton",0,"Away",44
35,"Liverpool",3,"Home",61
35,"QPR",0,"Away",27
35,"Sunderland",3,"Home",34
35,"Southampton",0,"Away",57
35,"Swansea",3,"Home",53
35,"Stoke",0,"Away",47
35,"West Ham",3,"Home",47
35,"Burnley",0,"Away",26
